,note_name,start_time,duration,velocity,tempo
0,G2,4.555,441/250,93,120.0
1,G3,4.555,557/500,54,120.0
2,B3,4.555,139/200,83,120.0
3,D4,4.555,441/1000,48,120.0
4,E2,6.273,927/1000,85,120.0
5,B3,6.273,673/1000,60,120.0
6,G4,6.273,673/1000,60,120.0
7,E4,6.295,373/1000,59,120.0
8,G4,6.945,211/200,84,120.0
9,G4,8.0,1109/1000,84,120.0
10,E2,9.109,181/200,86,120.0
11,E4,9.109,69/200,55,120.0
12,B3,9.109,13/20,61,120.0
13,G4,9.109,13/20,61,120.0
14,G4,9.759,973/1000,93,120.0
15,B3,10.755,249/200,59,120.0
16,F#4,10.755,673/1000,52,120.0
17,B2,10.755,723/1000,86,120.0
18,D4,10.755,723/1000,86,120.0
19,B3,12.0,641/1000,59,120.0
20,B3,12.964,627/1000,43,120.0
21,D4,13.614,13/20,57,120.0
22,G2,13.614,209/250,84,120.0
23,B3,13.614,209/250,84,120.0
24,G3,13.614,209/250,68,120.0
25,B3,13.614,209/250,68,120.0
26,A2,15.332,167/250,91,120.0
27,A3,15.332,209/500,53,120.0
28,C#4,15.332,131/200,73,120.0
29,A4,15.332,559/1000,44,120.0
30,A2,16.0,3/20,91,120.0
31,E4,16.405,121/200,88,120.0
32,C#4,16.427,791/1000,90,120.0
33,A4,16.473,509/1000,87,120.0
34,A4,16.982,509/1000,94,120.0
35,E4,16.982,509/1000,94,120.0
36,C#4,17.218,3/10,86,120.0
37,C#4,17.518,133/250,91,120.0
38,E4,17.518,133/250,91,120.0
39,A4,17.518,133/250,91,120.0
40,C#4,18.05,577/1000,93,120.0
41,A4,18.05,577/1000,93,120.0
42,E4,18.05,577/1000,93,120.0
43,C#4,18.632,291/500,90,120.0
44,A4,18.632,291/500,90,120.0
45,E4,18.632,291/500,90,120.0
46,C#4,19.214,291/500,92,120.0
47,A4,19.214,291/500,92,120.0
48,E4,19.214,291/500,92,120.0
49,C#4,19.795,41/200,89,120.0
50,A4,19.795,41/200,89,120.0
51,E4,19.795,41/200,89,120.0
52,C#4,20.0,309/1000,89,120.0
53,A4,20.0,309/1000,89,120.0
54,E4,20.0,309/1000,89,120.0
55,C#4,20.309,133/250,92,120.0
56,E4,20.309,133/250,92,120.0
57,A4,20.309,133/250,92,120.0
58,C#4,20.864,267/250,74,120.0
59,E4,20.864,267/250,74,120.0
60,A4,20.864,267/250,74,120.0
61,F#2,21.027,323/1000,44,120.0
62,D1,25.023,181/200,45,120.0
63,D1,26.277,509/1000,54,120.0
64,D1,27.577,423/1000,58,120.0
65,D1,28.0,4.0,58,120.0
66,D1,32.0,179/125,58,120.0
67,B2,58.877,1023/1000,81,120.0
68,D4,58.877,577/1000,83,120.0
69,F#3,58.877,139/200,85,120.0
70,B3,58.877,139/200,85,120.0
71,D4,59.455,257/500,85,120.0
72,F#3,59.573,427/1000,95,120.0
73,B3,59.573,79/200,97,120.0
74,B3,59.968,4/125,74,120.0
75,D4,59.968,4/125,85,120.0
76,B3,60.0,231/200,74,120.0
77,F#3,60.0,31/200,95,120.0
78,D4,60.0,641/1000,85,120.0
79,F#3,60.155,291/500,90,120.0
80,D4,60.641,257/500,69,120.0
81,D3,61.155,323/1000,35,120.0
82,D4,61.155,133/250,83,120.0
83,F#3,61.155,673/1000,96,120.0
84,B3,61.155,673/1000,96,120.0
85,D4,61.686,559/1000,82,120.0
86,B3,61.827,209/500,94,120.0
87,F#3,61.827,209/500,94,120.0
88,B3,62.245,121/200,86,120.0
89,D4,62.245,121/200,86,120.0
90,F#3,62.268,139/200,97,120.0
91,F#4,62.268,209/500,36,120.0
92,B3,62.827,627/1000,72,120.0
93,F#4,62.827,627/1000,72,120.0
94,C#4,62.827,627/1000,72,120.0
95,F#3,62.964,291/500,89,120.0
96,B4,63.291,7/20,50,120.0
97,B3,63.5,0.5,76,120.0
98,B3,64.0,0.5,76,120.0
99,F#3,64.5,559/1000,87,120.0
100,B3,64.5,559/1000,87,120.0
101,C#4,64.5,559/1000,87,120.0
102,F#4,64.614,7/10,46,120.0
103,D4,65.082,111/200,92,120.0
104,F#3,65.082,111/200,92,120.0
105,B3,65.659,559/1000,93,120.0
106,D4,65.659,559/1000,93,120.0
107,F#3,65.659,559/1000,93,120.0
108,C#4,66.218,291/500,78,120.0
109,F#3,66.218,291/500,78,120.0
110,B3,66.218,291/500,78,120.0
111,F#4,66.218,291/500,78,120.0
112,B3,66.8,859/1000,83,120.0
113,F#3,66.8,13/20,84,120.0
114,D4,66.8,13/20,84,120.0
115,F#4,67.195,121/200,53,120.0
116,F#3,67.45,441/1000,87,120.0
117,C#4,67.45,373/1000,70,120.0
118,A2,67.891,109/1000,80,120.0
119,E3,67.914,43/500,69,120.0
120,A3,67.914,43/500,69,120.0
121,D4,67.914,43/500,69,120.0
122,A2,68.0,823/1000,80,120.0
123,E3,68.0,473/1000,69,120.0
124,A3,68.0,473/1000,69,120.0
125,D4,68.0,473/1000,69,120.0
126,D4,68.473,67/125,74,120.0
127,A3,68.473,67/125,74,120.0
128,E3,68.495,359/500,90,120.0
129,A3,69.055,673/1000,89,120.0
130,D4,69.055,577/1000,75,120.0
131,E3,69.214,257/500,86,120.0
132,C#4,69.632,7/10,90,120.0
133,A4,69.632,79/200,39,120.0
134,E3,69.727,291/500,88,120.0
135,A3,69.727,13/20,88,120.0
136,A3,70.75,577/1000,82,120.0
137,B3,70.75,577/1000,82,120.0
138,E3,70.773,627/1000,84,120.0
139,A4,71.05,209/500,38,120.0
140,A3,71.305,139/200,87,120.0
141,C#4,71.305,139/200,87,120.0
142,E3,71.4,559/1000,78,120.0
143,A3,72.0,27/1000,87,120.0
144,C#4,72.0,27/1000,87,120.0
145,A2,72.445,927/1000,78,120.0
146,E3,72.445,627/1000,62,120.0
147,A3,72.445,67/125,70,120.0
148,B3,72.445,67/125,70,120.0
149,A3,72.959,577/1000,78,120.0
150,B3,72.959,577/1000,78,120.0
151,E3,73.073,243/500,84,120.0
152,E3,73.559,291/500,86,120.0
153,A3,73.559,291/500,86,120.0
154,B3,73.559,291/500,86,120.0
155,E3,74.141,359/500,88,120.0
156,C#4,74.141,359/500,88,120.0
157,A3,74.164,209/200,72,120.0
158,E3,75.209,131/200,85,120.0
159,A3,75.209,559/1000,82,120.0
160,B3,75.209,559/1000,82,120.0
161,A2,75.768,29/125,43,120.0
162,A3,75.768,29/125,89,120.0
163,C#4,75.768,29/125,89,120.0
164,E3,75.864,17/125,82,120.0
165,E3,76.0,441/1000,82,120.0
166,A2,76.0,141/1000,43,120.0
167,A3,76.0,58/125,89,120.0
168,C#4,76.0,58/125,89,120.0
169,B3,76.977,111/200,90,120.0
170,G2,76.977,139/200,82,120.0
171,D3,76.977,139/200,82,120.0
172,G3,76.977,139/200,82,120.0
